2025-09-07 08:23:16.988 | INFO     | crawler.main:cleanup:266 - 爬虫引擎已关闭
2025-09-07 08:23:16.988 | INFO     | api.server:shutdown_event:95 - API服务已关闭
2025-09-07 08:23:18.552 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:23:18.552 | INFO     | api.server:startup_event:83 - API服务启动成功
2025-09-07 08:24:40.818 | INFO     | crawler.main:cleanup:266 - 爬虫引擎已关闭
2025-09-07 08:24:40.819 | INFO     | api.server:shutdown_event:95 - API服务已关闭
2025-09-07 08:24:43.211 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:24:43.211 | INFO     | api.server:startup_event:83 - API服务启动成功
2025-09-07 08:24:44.287 | INFO     | crawler.main:crawl_news_sources:73 - 开始爬取: 36氪
2025-09-07 08:24:50.960 | INFO     | crawler.main:crawl_news_sources:102 - 从 36氪 获取到 3 篇文章
2025-09-07 08:24:50.960 | INFO     | crawler.main:crawl_news_sources:73 - 开始爬取: 虎嗅网
2025-09-07 08:25:00.969 | INFO     | crawler.main:crawl_news_sources:102 - 从 虎嗅网 获取到 5 篇文章
2025-09-07 08:25:00.970 | INFO     | crawler.main:crawl_news_sources:73 - 开始爬取: 机器之心
2025-09-07 08:25:31.243 | WARNING  | crawler.main:crawl_news_sources:104 - 爬取 机器之心 失败
2025-09-07 08:25:31.244 | INFO     | crawler.main:crawl_news_sources:118 - 总共获取到 3 篇去重后的文章
2025-09-07 08:25:33.395 | INFO     | crawler.main:cleanup:238 - 爬虫引擎已关闭
2025-09-07 08:25:33.395 | INFO     | api.server:shutdown_event:95 - API服务已关闭
2025-09-07 08:25:35.452 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:25:35.453 | INFO     | api.server:startup_event:83 - API服务启动成功
2025-09-07 08:26:09.136 | INFO     | api.server:process_content:157 - content_processor: <crawler.content_processor.ContentProcessor object at 0x118dcee40>
